84845,LAKE PLACID 2 SW,FL,-81.38333,27.28333,89
87318,PORT ST LUCIE,FL,-80.33333,27.33333,79
88024,SARASOTA 5 E,FL,-82.46667,27.33333,30
88021,SARASOTA,FL,-82.53333,27.35,30
80488,BASINGER,FL,-81.03333,27.38333,39
82288,DESOTO CITY 8 SW,FL,-81.5136,27.3697,85
12814,SARASOTA AAF,FL,-82.55,27.38333,
83209,FT PIERCE ARC,FL,-80.4053,27.4272,20
81869,CORNWELL 4 NW,FL,-81.16667,27.4,39
86539,ONA RANGE CATTLE EXP STN,FL,-81.93333,27.4,89
12838,MELBOURNE INTERNATIONAL AIRPORT,FL,-80.6439,28.1011,27
12871,SARASOTA BRADENTON AP,FL,-82.55861,27.40139,28
85124,LONGBOAT KEY,FL,-82.65,27.41667,10
12805,HENDRICKS AAF,FL,-81.36667,27.46667,
80945,BRADENTON 5 ESE,FL,-82.5014,27.4467,20
80940,BRADENTON EXPERIMENT STN,FL,-82.55,27.48333,10
X82,FORT PIERCE LIGHT BOAT STN,FL,-80.3,27.46667,
88086,SEBRING,FL,-81.45,27.51667,141
88087,SEBRING 3 WNW,FL,-81.48333,27.5,112
83137,FORT DRUM,FL,-80.76944,27.51389,49
12875,WAUCHULA 2 N,FL,-81.81667,27.56667,131
83153,FT GREEN 12 WSW,FL,-82.1393,27.57264,112
86880,PARRISH,FL,-82.3476,27.609,60
89401,WAUCHULA,FL,-81.7994,27.5477,60
89219,VERO BEACH  4SE,FL,-80.403,27.6527,20
80374,AVON PARK 1 NW,FL,-81.5,27.6,151
80369,AVON PARK 2 W,FL,-81.5266,27.5947,154
X91,ST PETERSBURG EGMONT,FL,-82.76667,27.6,
89211,VERO BEACH 2,FL,-80.36667,27.66667,10
12855,VERO BEACH NAS,FL,-80.41667,27.65,
12804,AVON PARK GUNNERY RANGE,FL,-81.33333,27.65,
82936,FELLSMERE 7 SSW,FL,-80.65,27.68333,20
83175,FORT MEADE,FL,-81.81667,27.73333,
88782,TAMPA BAY AREA WFO,FL,-82.40092,27.70532,40
89021,TREASURE ISLAND,FL,-82.76667,27.76667,10
87886,ST PETERSBURG,FL,-82.6262,27.7629,8
84636,KISSIMMEE RIVER,FL,-81.18333,27.8,48
84242,INDIAN LAKE ESTATES,FL,-81.33333,27.8,100
80390,BABSON PARK 1 ENE,FL,-81.51667,27.85,125
87135,PINELLAS PARK,FL,-82.75,27.83333,20
85082,LITHIA 4 WNW,FL,-82.2,27.86667,80
12810,MACDILL AFB,FL,-82.51667,27.85,14
86251,NITTAW 1 S,FL,-81,27.93333,69
85973,MOUNTAIN LAKE,FL,-81.5993,27.9378,125
88391,SOUTH MELBOURNE BEACH,FL,-80.51667,27.98333,10
12881,VALKARIA,FL,-80.56667,27.95,
12809,BARTOW MUNICIPAL AP,FL,-81.78333,27.95,125
12808,LAKELAND,FL,-82.01667,28,
12806,TAMPA DREW FIELD AAF,FL,-82.51667,27.98333,
12842,TAMPA INTL AP,FL,-82.5403,27.96194,19
89707,WINTER HAVEN,FL,-81.7331,28.0153,145
87205,PLANT CITY,FL,-82.1422,28.0236,120
84075,HOLOPAW 6 SE,FL,-81.05,28.05,69
83713,HAINES CITY 4 S,FL,-81.61667,28.08333,
88783,TAMPA FOWLER AVE,FL,-82.36667,28.05,39
80520,BAY LAKE,FL,-82.5,28.06667,49
12837,LAKELAND,FL,-81.91667,28.08333,
12851,MELBOURNE NAS,FL,-80.63333,28.1,
85607,MELBOURNE 10 WNW,FL,-80.75,28.11667,
82200,DEER PARK,FL,-80.9,28.1,49
88967,TOHOPEKALIGA CYP CANAL,FL,-81.33333,28.13333,59
83718,HAINES CITY 2 W,FL,-81.65,28.1,
84712,LAKE ALFRED 3 NNE,FL,-81.71667,28.13333,
84707,LAKE ALFRED EXP STN,FL,-81.71444,28.10417,138
82137,DAVENPORT,FL,-81.6,28.15,161
83986,HILLSBOROUGH RVR ST PARK,FL,-82.2276,28.1469,53
12867,COCOA BEACH PATRICK AFB,FL,-80.6,28.23333,8
12845,COCOA BEACH BANANA RIVER NAS,FL,-80.6,28.25,
12813,KISSIMMEE AAF,FL,-81.41667,28.28333,
84625,KISSIMMEE 2,FL,-81.424,28.2763,60
84632,KISSIMMEE CITY HALL,FL,-81.4,28.3,69
85643,MERRITT ISLAND,FL,-80.7,28.35,30
83840,HART LAKE,FL,-81.18333,28.38333,59
82834,EVA,FL,-81.83333,28.35,121
84150,HUDSON,FL,-82.71667,28.36667,49
12815,ORLANDO INTL AP,FL,-81.325,28.4339,90
84332,ISLEWORTH,FL,-81.53333,28.48333,115
81641,CLERMONT 9 S,FL,-81.7234,28.4558,130
89030,TRILBY 4 NE,FL,-82.15,28.48333,69
12818,BROOKSVILLE HERNANDO COUNTY AP,FL,-82.45444,28.47361,77
81048,BROOKSVILLE 7 SSW,FL,-82.4353,28.4811,67
84771,LAKE HIAWASSEE,FL,-81.46667,28.53333,121
89430,WEEKI WACHEE,FL,-82.5756,28.5175,20
80758,BITHLO,FL,-81.11667,28.55,65
86633,ORLANDO WATER PLANT,FL,-81.35,28.55,112
12841,ORLANDO EXECUTIVE AP,FL,-81.33306,28.54528,108
